genotype_confirmation,physical_id,mouseline,birthdate,deathdate,gender,genotype,phenotype,project_title,purpose,sacrificer,comment
Confirmed,4118B07,Lrg5-rrta-GFP,21/10/2016,9/12/2016,Female,Lgr5(T/+),N/A,TBC,For FACS,Naiyang,
Confirmed,4118B08,Lrg5-rrta-GFP,21/10/2016,9/12/2016,Female,Lgr5(+/+),N/A,TBC,For FACS,Naiyang,
Confirmed,4118B09,Lrg5-rrta-GFP,20/10/2016,19/12/2016,Female,Lgr5(+/+),N/A,TBC,For FACS Optimisation,Naiyang,
"Lrg5(+/+), Checked twice",4118B10,Lrg5-rrta-GFP,20/10/2016,19/12/2016,Female,Lgr5(T/+),N/A,TBC,For FACS Optimisation,Naiyang,
Confirmed,4118A10,Lrg5-rrta-GFP,29/9/2016,23/12/2016,Male,Lgr5(T/+),N/A,TBC,For FACS Optimisation,Naiyang,
Confirmed,4117B01,Lrg5-rrta-GFP,20/10/2016,23/12/2016,Male,Lgr5(+/+),N/A,TBC,For FACS Optimisation,Naiyang,
Confirmed,4118B11,Lrg5-rrta-GFP,20/10/2016,6/1/2017,Female,Lgr5(T/+),N/A,TBC,For FACS Optimisation,Naiyang,
Confirmed,4117B04,Lrg5-rrta-GFP,23/10/2016,6/1/2017,Male,Lgr5(+/+),N/A,TBC,For FACS Optimisation,Naiyang,
Confirmed,4118B05,Lrg5-rrta-GFP,20/10/2016,6/1/2017,Female,Lgr5(T/+),N/A,TBC,Did NOT use for FACS in the end,Naiyang,
Confirmed,4121A11,KRT5/MCl-1,3/10/2016,11/1/2017,Male,"Krt5(T/+),MCl-1(fl/+)",Full Grown,MCl-1 Project,IHC (IMCB and in-House),Naiyang,
Confirmed,4121A14,KRT5/MCl-1,3/10/2016,11/1/2017,Male,"Krt5(T/+),MCl-1(fl/fl)",Naked,MCl-1 Project,IHC (IMCB and in-House),Naiyang,
Confirmed,4122A01,KRT5/MCl-1,1/10/2016,11/1/2017,Male,"Krt5(T/+),MCl-1(fl/+)",Partial Naked (Butt),MCl-1 Project,IHC (IMCB and in-House),Naiyang,
Confirmed,4122A02,KRT5/MCl-1,1/10/2016,11/1/2017,Male,"Krt5(T/+),MCl-1(fl/fl)",Naked,MCl-1 Project,IHC (IMCB and in-House),Naiyang,
Confirmed,4122A04,KRT5/MCl-1,1/10/2016,11/1/2017,Male,"Krt5(+/+),MCl-1(fl/+)",Full Grown,MCl-1 Project,IHC (IMCB and in-House),Naiyang,
Confirmed,2984B01,Lrg5/TOM,13/8/2016,16/1/2017,Male,"Lrg5(T/+), TOM(T/+)",N/A,Liver Tumor Project,"Tissue Harvest (Liver, Liver Tumor and Intestine)",Naiyang,
Confirmed,2984B08,Lrg5/TOM,13/8/2016,16/1/2017,Male,"Lrg5(T/+), TOM(T/+)",N/A,Liver Tumor Project,"Tissue Harvest (Liver, Liver Tumor and Intestine)",Naiyang,
Confirmed,2984A06,Lrg5/TOM,23/7/2016,23/1/2017,Female,"Lrg5(T/+), TOM(T/+)",N/A,Liver Tumor Project,"Tissue Harvest (Liver, Liver Tumor and Intestine)",Naiyang,
Confirmed,2984A07,Lrg5/TOM,23/7/2016,23/1/2017,Female,"Lrg5(T/+), TOM(T/+)",N/A,Liver Tumor Project,"Tissue Harvest (Liver, Liver Tumor and Intestine)",Naiyang,
Confirmed,2984A08,Lrg5/TOM,23/7/2016,23/1/2017,Female,"Lrg5(T/+), TOM(T/+)",N/A,Liver Tumor Project,"Tissue Harvest (Liver, Liver Tumor and Intestine)",Naiyang,
"Kai(+/+), Checked twice",4119D01,Gli1/Kai/Tomato,26/11/2016,27/1/2017,Male,"Gli1(KI/+), Kai(T/+). Tomato(KI/+)",N/A,Gli1/MCl-1 Project,"Tissue Harvest (Skin and Liver, and a suspected liver tumor)",Shih Han,
Confirmed,4119D02,Gli1/Kai/Tomato,26/11/2016,27/1/2017,Male,"Gli1(KI/KI), Kai(+/+). Tomato(KI/+)",N/A,Gli1/MCl-1 Project,Harvest (Skin and Liver),Shih Han,
Confirmed,5502A01,Gli1-rttA-GFP,10/1/2017,27/1/2017,Male,Gli1(KI/+),N/A,TBC,Harvest (Skin and Liver),Shih Han,
Confirmed,5502A02,Gli1-rttA-GFP,10/1/2017,27/1/2017,Male,Gli1(KI/KI),N/A,TBC,Harvest (Skin and Liver),Shih Han,
Confirmed,5502A04,Gli1-rttA-GFP,10/1/2017,27/1/2017,Female,Gli1(KI/KI),N/A,TBC,Harvest (Skin and Liver),Shih Han,
Confirmed,5502A05,Gli1-rttA-GFP,10/1/2017,27/1/2017,Female,Gli1(KI/+),N/A,TBC,Harvest (Skin and Liver),Shih Han,
Confirmed,4118B02,Lrg5-rttA-GFP,20/10/2016,1/2/2017,Male,Lrg5 (T/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4117B02,Lrg5-rttA-GFP,23/10/2016,1/2/2017,Male,Lrg5 (T/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4117B03,Lrg5-rttA-GFP,23/10/2016,1/2/2017,Male,Lrg5 (+/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,2984A01,Lrg5/TOM,23/7/2016,6/2/2017,Male,"Lrg5(T/+), TOM(T/+)",N/A,Liver Tumor Project,"Harvest (Liver, Liver Tumor and Unknown-Source Tumor)",Shih Han,
Confirmed,2984A02,Lrg5/TOM,23/7/2016,6/2/2017,Male,"Lrg5(T/+), TOM(T/+)",N/A,Liver Tumor Project,Harvest (Liver),Shih Han,
Confirmed,2984A04,Lrg5/TOM,23/7/2016,6/2/2017,Male,"Lrg5(T/+), TOM(T/+)",N/A,Liver Tumor Project,Harvest (Liver with suspevted tiny tumor,Shih Han,
Confirmed,4118B03,Lrg5-rrta-GFP,20/10/2016,20/2/2017,Male,Lgr5(T/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4117C05,Lrg5-rrta-GFP,15/11/2016,20/2/2017,Male,Lgr5(T/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4117C06,Lrg5-rrta-GFP,15/11/2016,20/2/2017,Male,Lgr5(+/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,2985A06,Lrg5/TOM,20/7/2016,20/2/2017,Female,"Lrg5(T/+), TOM(T/+)",N/A,Liver Tumor Project,Harvest (Liver),Shih Han,
Confirmed,2985A14,Lrg5/TOM,20/7/2016,20/2/2017,Female,"Lrg5(T/+), TOM(T/+)",N/A,Liver Tumor Project,Harvest (Liver),Shih Han,
Confirmed,2984B02,Lrg5/TOM,13/8/2016,20/2/2017,Female,"Lrg5(T/+), TOM(T/+)",N/A,Liver Tumor Project,Harvest (Liver),Shih Han,
Confirmed,2984B13,Lrg5/TOM,13/8/2016,20/2/2017,Female,"Lrg5(T/+), TOM(T/+)",N/A,Liver Tumor Project,Harvest (Liver),Shih Han,
Confirmed,4681B02,Krt5/Gli1/Gli2,26/1/2017,21/2/2017,Male,"Krt5 (T/+), Gli1 (KI/KI), Gli 2(fl/fl)",Naked,Gli1/Gli2 Project,Harvest (Skin),Shih Han,
Confirmed,4681B04,Krt5/Gli1/Gli2,26/1/2017,21/2/2017,Female,"Krt5 (T/+), Gli1 (KI/KI), Gli 2(fl/+)",Partial Naked,Gli1/Gli2 Project,Harvest (Skin and Skin with Hair),Shih Han,
Confirmed,4681B05,Krt5/Gli1/Gli2,26/1/2017,21/2/2017,Female,"Krt5 (T/+), Gli1 (KI/KI), Gli 2(fl/fl)",Naked,Gli1/Gli2 Project,Harvest (Skin),Shih Han,
Confirmed,4681B06,Krt5/Gli1/Gli2,26/1/2017,21/2/2017,Female,"Krt5 (T/+), Gli1 (KI/KI), Gli 2(fl/+)",Partial Naked,Gli1/Gli2 Project,Harvest (Skin and Skin with Hair),Shih Han,
Confirmed,4118B04,Lgr5-rttA-GFP,20/10/2016,27/2/2017,Male,Lgr5(T/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4117B05,Lgr5-rttA-GFP,23/10/2016,27/2/2017,Male,Lgr5(T/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4117C07,Lgr5-rttA-GFP,15/11/2016,27/2/2017,Male,Lgr5(+/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4117D20,Lgr5-rttA-GFP,7/12/2016,6/3/2017,Male,Lgr5(T/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4118C03,Lgr5-rttA-GFP,26/11/2016,6/3/2017,Male,Lgr5(T/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4118D05,Lgr5-rttA-GFP,21/12/2016,6/3/2017,Male,Lgr5(+/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,(DOX 4 Days)4882D08,Lgr5/Kai/Tomato,10/2/2017,7/3/2017,Female,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",N/A,liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,(DOX 4 Days)4882D09,Lgr5/Kai/Tomato,10/2/2017,7/3/2017,Female,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",N/A,liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,(DOX 4 Days)4882D10,Lgr5/Kai/Tomato,10/2/2017,7/3/2017,Female,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",N/A,liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4117D02,Lgr5-rttA-GFP,7/12/2016,14/3/2017,Female,Lgr5(T/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4117D03,Lgr5-rttA-GFP,7/12/2016,14/3/2017,Female,Lgr5(+/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4118D11,Lgr5-rttA-GFP,21/12/2016,14/3/2017,Female,Lgr5(T/+),N/A,TBC,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4882A06,Lgr5/Kai/Tomato,5/1/2017,20/3/2017,Female,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",N/A,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4520C07,Lgr5/Kai/Tomato,10/3/2017,27/3/2017,Male,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",N/A,TBC,"FACS Trial and IHC Optimisation, Harvest (Skin, Liver and Lungs)",Hui San,
Confirmed,4520C08,Lgr5/Kai/Tomato,10/3/2017,27/3/2017,Male,"Lgr5(+/+), Kai(+/+), Tomato(KI/+)",N/A,TBC,"FACS Trial and IHC Optimisation, Harvest (Skin, Liver and Lungs)",Hui San,
N/A,3760C13,Lgr5/TetO-Neu,5/3/2017,3/4/2017,Male,"Lgr5 (+/+), TetONeu (+/+)",N/A,TBC,"FACS Trial and IHC Optimisation, Harvest (Small Intestine, Liver and Lungs)",Hui San,
N/A,3760C17,Lgr5/TetO-Neu,5/3/2017,3/4/2017,Male,"Lgr5 (+/+), TetONeu (+/+)",N/A,TBC,"FACS Trial and IHC Optimisation, Harvest (Small Intestine, Liver and Lungs)",Hui San,
N/A,TOM1,TOM,21/12/2016,4/4/2017,Male,TOM (T/T),N/A,TBC,FACS Trial and IHC Optimisation,Hui San,
